"","Index","FlowMetric","Impact","Quantile","Hard Bottom","Natural","Overall 1st","Overall 30th","Overall 10th","Soft Bottom (no hard sides)","Soft Bottom (two hard sides)"
"1","asci","Dry-season median baseflow","NoImpact",0.9,20.6896551724138,58.7628865979381,25.7575757575758,60.1010101010101,43.4343434343434,50,0
"2","asci","Dry-season median baseflow","BioImpact",0.9,72.4137931034483,41.2371134020619,64.1414141414141,39.8989898989899,55.5555555555556,50,100
"3","asci","Dry-season median baseflow","HydroImpact",0.5,20.6896551724138,58.7628865979381,25.7575757575758,2.52525252525253,43.4343434343434,0,0
"4","asci","Dry-season median baseflow","BothImpact",0.5,79.3103448275862,41.2371134020619,74.2424242424242,4.04040404040404,56.5656565656566,0,0
"5","asci","Dry-season median baseflow","BothImpact",0.9,6.89655172413793,0,10.1010101010101,0,1.01010101010101,0,0
"6","asci","Dry-season median baseflow","NoImpact",0.5,0,0,0,57.5757575757576,0,50,0
"7","asci","Dry-season median baseflow","BioImpact",0.5,0,0,0,35.8585858585859,0,50,100
"8","asci","Fall pulse magnitude","NoImpact",0.9,20.6896551724138,58.7628865979381,25.7575757575758,60.1010101010101,43.4343434343434,50,0
"9","asci","Fall pulse magnitude","BioImpact",0.9,72.4137931034483,41.2371134020619,63.6363636363636,39.8989898989899,52.5252525252525,50,92.3076923076923
"10","asci","Fall pulse magnitude","HydroImpact",0.5,20.6896551724138,58.7628865979381,25.7575757575758,60.1010101010101,43.4343434343434,50,0
"11","asci","Fall pulse magnitude","BothImpact",0.5,79.3103448275862,41.2371134020619,74.2424242424242,39.8989898989899,56.5656565656566,50,100
"12","asci","Fall pulse magnitude","BothImpact",0.9,6.89655172413793,0,10.6060606060606,0,4.04040404040404,0,7.69230769230769
"13","asci","10-year flood magnitude","NoImpact",0.9,6.89655172413793,58.7628865979381,25.7575757575758,60.1010101010101,41.4141414141414,50,0
"14","asci","10-year flood magnitude","BioImpact",0.9,41.3793103448276,37.1134020618557,58.5858585858586,36.3636363636364,45.959595959596,50,69.2307692307692
"15","asci","10-year flood magnitude","HydroImpact",0.5,20.6896551724138,58.7628865979381,25.7575757575758,6.56565656565657,43.4343434343434,50,0
"16","asci","10-year flood magnitude","HydroImpact",0.9,13.7931034482759,0,0,0,2.02020202020202,0,0
"17","asci","10-year flood magnitude","BothImpact",0.5,79.3103448275862,41.2371134020619,74.2424242424242,12.1212121212121,56.5656565656566,50,38.4615384615385
"18","asci","10-year flood magnitude","BothImpact",0.9,37.9310344827586,4.12371134020619,15.6565656565657,3.53535353535354,10.6060606060606,0,30.7692307692308
"19","asci","10-year flood magnitude","NoImpact",0.5,0,0,0,53.5353535353535,0,0,0
"20","asci","10-year flood magnitude","BioImpact",0.5,0,0,0,27.7777777777778,0,0,61.5384615384615
"21","asci","2-year flood magnitude","NoImpact",0.9,20.6896551724138,55.6701030927835,25.7575757575758,60.1010101010101,41.9191919191919,50,0
"22","asci","2-year flood magnitude","BioImpact",0.9,68.9655172413793,32.9896907216495,64.1414141414141,35.3535353535354,48.4848484848485,50,69.2307692307692
"23","asci","2-year flood magnitude","HydroImpact",0.5,20.6896551724138,58.7628865979381,25.7575757575758,14.6464646464646,43.4343434343434,50,0
"24","asci","2-year flood magnitude","BothImpact",0.5,79.3103448275862,41.2371134020619,74.2424242424242,19.6969696969697,56.5656565656566,50,30.7692307692308
"25","asci","2-year flood magnitude","BothImpact",0.9,10.3448275862069,8.24742268041237,10.1010101010101,4.54545454545455,8.08080808080808,0,30.7692307692308
"26","asci","2-year flood magnitude","HydroImpact",0.9,0,3.09278350515464,0,0,1.51515151515152,0,0
"27","asci","2-year flood magnitude","NoImpact",0.5,0,0,0,45.4545454545455,0,0,0
"28","asci","2-year flood magnitude","BioImpact",0.5,0,0,0,20.2020202020202,0,0,69.2307692307692
"29","asci","5-year flood magnitude","NoImpact",0.9,20.6896551724138,58.7628865979381,25.7575757575758,60.1010101010101,43.4343434343434,50,0
"30","asci","5-year flood magnitude","BioImpact",0.9,72.4137931034483,41.2371134020619,59.5959595959596,36.3636363636364,52.5252525252525,50,69.2307692307692
"31","asci","5-year flood magnitude","HydroImpact",0.5,20.6896551724138,58.7628865979381,25.7575757575758,60.1010101010101,43.4343434343434,50,0
"32","asci","5-year flood magnitude","BothImpact",0.5,79.3103448275862,41.2371134020619,74.2424242424242,39.8989898989899,56.5656565656566,50,100
"33","asci","5-year flood magnitude","BothImpact",0.9,6.89655172413793,0,14.6464646464646,3.53535353535354,4.04040404040404,0,30.7692307692308
"34","asci","Magnitude of largest annual storm","NoImpact",0.9,20.6896551724138,58.7628865979381,25.7575757575758,60.1010101010101,43.4343434343434,50,0
"35","asci","Magnitude of largest annual storm","BioImpact",0.9,75.8620689655172,41.2371134020619,66.6666666666667,37.3737373737374,53.5353535353535,50,69.2307692307692
