"","Index","Hydro_endpoint","Flow.Metric.Name","Threshold","Result","Quantile","metric","n"
"1","asci","DS_Mag_50","Dry-season median baseflow","HB","NoImpact",0.9,"asci_DS_Mag_50",6
"2","asci","DS_Mag_50","Dry-season median baseflow","HB","BioImpact",0.9,"asci_DS_Mag_50",21
"3","asci","DS_Mag_50","Dry-season median baseflow","HB","HydroImpact",0.5,"asci_DS_Mag_50",6
"4","asci","DS_Mag_50","Dry-season median baseflow","HB","BothImpact",0.5,"asci_DS_Mag_50",23
"5","asci","DS_Mag_50","Dry-season median baseflow","HB","BothImpact",0.9,"asci_DS_Mag_50",2
"6","asci","DS_Mag_50","Dry-season median baseflow","NAT","NoImpact",0.9,"asci_DS_Mag_50",57
"7","asci","DS_Mag_50","Dry-season median baseflow","NAT","BioImpact",0.9,"asci_DS_Mag_50",40
"8","asci","DS_Mag_50","Dry-season median baseflow","NAT","HydroImpact",0.5,"asci_DS_Mag_50",57
"9","asci","DS_Mag_50","Dry-season median baseflow","NAT","BothImpact",0.5,"asci_DS_Mag_50",40
"10","asci","DS_Mag_50","Dry-season median baseflow","NATHigh","NoImpact",0.9,"asci_DS_Mag_50",51
"11","asci","DS_Mag_50","Dry-season median baseflow","NATHigh","BioImpact",0.9,"asci_DS_Mag_50",127
"12","asci","DS_Mag_50","Dry-season median baseflow","NATHigh","HydroImpact",0.5,"asci_DS_Mag_50",51
"13","asci","DS_Mag_50","Dry-season median baseflow","NATHigh","BothImpact",0.5,"asci_DS_Mag_50",147
"14","asci","DS_Mag_50","Dry-season median baseflow","NATHigh","BothImpact",0.9,"asci_DS_Mag_50",20
"15","asci","DS_Mag_50","Dry-season median baseflow","NATLow","NoImpact",0.5,"asci_DS_Mag_50",114
"16","asci","DS_Mag_50","Dry-season median baseflow","NATLow","NoImpact",0.9,"asci_DS_Mag_50",119
"17","asci","DS_Mag_50","Dry-season median baseflow","NATLow","BioImpact",0.5,"asci_DS_Mag_50",71
"18","asci","DS_Mag_50","Dry-season median baseflow","NATLow","BioImpact",0.9,"asci_DS_Mag_50",79
"19","asci","DS_Mag_50","Dry-season median baseflow","NATLow","HydroImpact",0.5,"asci_DS_Mag_50",5
"20","asci","DS_Mag_50","Dry-season median baseflow","NATLow","BothImpact",0.5,"asci_DS_Mag_50",8
"21","asci","DS_Mag_50","Dry-season median baseflow","NATMed","NoImpact",0.9,"asci_DS_Mag_50",86
"22","asci","DS_Mag_50","Dry-season median baseflow","NATMed","BioImpact",0.9,"asci_DS_Mag_50",110
"23","asci","DS_Mag_50","Dry-season median baseflow","NATMed","HydroImpact",0.5,"asci_DS_Mag_50",86
"24","asci","DS_Mag_50","Dry-season median baseflow","NATMed","BothImpact",0.5,"asci_DS_Mag_50",112
"25","asci","DS_Mag_50","Dry-season median baseflow","NATMed","BothImpact",0.9,"asci_DS_Mag_50",2
"26","asci","DS_Mag_50","Dry-season median baseflow","SB0","NoImpact",0.5,"asci_DS_Mag_50",2
"27","asci","DS_Mag_50","Dry-season median baseflow","SB0","NoImpact",0.9,"asci_DS_Mag_50",2
"28","asci","DS_Mag_50","Dry-season median baseflow","SB0","BioImpact",0.5,"asci_DS_Mag_50",2
"29","asci","DS_Mag_50","Dry-season median baseflow","SB0","BioImpact",0.9,"asci_DS_Mag_50",2
"30","asci","DS_Mag_50","Dry-season median baseflow","SB2","BioImpact",0.5,"asci_DS_Mag_50",13
"31","asci","DS_Mag_50","Dry-season median baseflow","SB2","BioImpact",0.9,"asci_DS_Mag_50",13
"32","asci","FA_Mag","Fall pulse magnitude","HB","NoImpact",0.9,"asci_FA_Mag",6
"33","asci","FA_Mag","Fall pulse magnitude","HB","BioImpact",0.9,"asci_FA_Mag",21
"34","asci","FA_Mag","Fall pulse magnitude","HB","HydroImpact",0.5,"asci_FA_Mag",6
"35","asci","FA_Mag","Fall pulse magnitude","HB","BothImpact",0.5,"asci_FA_Mag",23
"36","asci","FA_Mag","Fall pulse magnitude","HB","BothImpact",0.9,"asci_FA_Mag",2
"37","asci","FA_Mag","Fall pulse magnitude","NAT","NoImpact",0.9,"asci_FA_Mag",57
"38","asci","FA_Mag","Fall pulse magnitude","NAT","BioImpact",0.9,"asci_FA_Mag",40
"39","asci","FA_Mag","Fall pulse magnitude","NAT","HydroImpact",0.5,"asci_FA_Mag",57
"40","asci","FA_Mag","Fall pulse magnitude","NAT","BothImpact",0.5,"asci_FA_Mag",40
"41","asci","FA_Mag","Fall pulse magnitude","NATHigh","NoImpact",0.9,"asci_FA_Mag",51
"42","asci","FA_Mag","Fall pulse magnitude","NATHigh","BioImpact",0.9,"asci_FA_Mag",126
"43","asci","FA_Mag","Fall pulse magnitude","NATHigh","HydroImpact",0.5,"asci_FA_Mag",51
"44","asci","FA_Mag","Fall pulse magnitude","NATHigh","BothImpact",0.5,"asci_FA_Mag",147
"45","asci","FA_Mag","Fall pulse magnitude","NATHigh","BothImpact",0.9,"asci_FA_Mag",21
"46","asci","FA_Mag","Fall pulse magnitude","NATLow","NoImpact",0.9,"asci_FA_Mag",119
"47","asci","FA_Mag","Fall pulse magnitude","NATLow","BioImpact",0.9,"asci_FA_Mag",79
"48","asci","FA_Mag","Fall pulse magnitude","NATLow","HydroImpact",0.5,"asci_FA_Mag",119
"49","asci","FA_Mag","Fall pulse magnitude","NATLow","BothImpact",0.5,"asci_FA_Mag",79
"50","asci","FA_Mag","Fall pulse magnitude","NATMed","NoImpact",0.9,"asci_FA_Mag",86
"51","asci","FA_Mag","Fall pulse magnitude","NATMed","BioImpact",0.9,"asci_FA_Mag",104
"52","asci","FA_Mag","Fall pulse magnitude","NATMed","HydroImpact",0.5,"asci_FA_Mag",86
"53","asci","FA_Mag","Fall pulse magnitude","NATMed","BothImpact",0.5,"asci_FA_Mag",112
"54","asci","FA_Mag","Fall pulse magnitude","NATMed","BothImpact",0.9,"asci_FA_Mag",8
"55","asci","FA_Mag","Fall pulse magnitude","SB0","NoImpact",0.9,"asci_FA_Mag",2
"56","asci","FA_Mag","Fall pulse magnitude","SB0","BioImpact",0.9,"asci_FA_Mag",2
"57","asci","FA_Mag","Fall pulse magnitude","SB0","HydroImpact",0.5,"asci_FA_Mag",2
"58","asci","FA_Mag","Fall pulse magnitude","SB0","BothImpact",0.5,"asci_FA_Mag",2
"59","asci","FA_Mag","Fall pulse magnitude","SB2","BioImpact",0.9,"asci_FA_Mag",12
"60","asci","FA_Mag","Fall pulse magnitude","SB2","BothImpact",0.5,"asci_FA_Mag",13
"61","asci","FA_Mag","Fall pulse magnitude","SB2","BothImpact",0.9,"asci_FA_Mag",1
"62","asci","Peak_10","10-year flood magnitude","HB","NoImpact",0.9,"asci_Peak_10",2
"63","asci","Peak_10","10-year flood magnitude","HB","BioImpact",0.9,"asci_Peak_10",12
"64","asci","Peak_10","10-year flood magnitude","HB","HydroImpact",0.5,"asci_Peak_10",6
"65","asci","Peak_10","10-year flood magnitude","HB","HydroImpact",0.9,"asci_Peak_10",4
"66","asci","Peak_10","10-year flood magnitude","HB","BothImpact",0.5,"asci_Peak_10",23
"67","asci","Peak_10","10-year flood magnitude","HB","BothImpact",0.9,"asci_Peak_10",11
"68","asci","Peak_10","10-year flood magnitude","NAT","NoImpact",0.9,"asci_Peak_10",57
"69","asci","Peak_10","10-year flood magnitude","NAT","BioImpact",0.9,"asci_Peak_10",36
"70","asci","Peak_10","10-year flood magnitude","NAT","HydroImpact",0.5,"asci_Peak_10",57
"71","asci","Peak_10","10-year flood magnitude","NAT","BothImpact",0.5,"asci_Peak_10",40
"72","asci","Peak_10","10-year flood magnitude","NAT","BothImpact",0.9,"asci_Peak_10",4
"73","asci","Peak_10","10-year flood magnitude","NATHigh","NoImpact",0.9,"asci_Peak_10",51
"74","asci","Peak_10","10-year flood magnitude","NATHigh","BioImpact",0.9,"asci_Peak_10",116
"75","asci","Peak_10","10-year flood magnitude","NATHigh","HydroImpact",0.5,"asci_Peak_10",51
"76","asci","Peak_10","10-year flood magnitude","NATHigh","BothImpact",0.5,"asci_Peak_10",147
"77","asci","Peak_10","10-year flood magnitude","NATHigh","BothImpact",0.9,"asci_Peak_10",31
"78","asci","Peak_10","10-year flood magnitude","NATLow","NoImpact",0.5,"asci_Peak_10",106
"79","asci","Peak_10","10-year flood magnitude","NATLow","NoImpact",0.9,"asci_Peak_10",119
"80","asci","Peak_10","10-year flood magnitude","NATLow","BioImpact",0.5,"asci_Peak_10",55
"81","asci","Peak_10","10-year flood magnitude","NATLow","BioImpact",0.9,"asci_Peak_10",72
"82","asci","Peak_10","10-year flood magnitude","NATLow","HydroImpact",0.5,"asci_Peak_10",13
"83","asci","Peak_10","10-year flood magnitude","NATLow","BothImpact",0.5,"asci_Peak_10",24
"84","asci","Peak_10","10-year flood magnitude","NATLow","BothImpact",0.9,"asci_Peak_10",7
"85","asci","Peak_10","10-year flood magnitude","NATMed","NoImpact",0.9,"asci_Peak_10",82
"86","asci","Peak_10","10-year flood magnitude","NATMed","BioImpact",0.9,"asci_Peak_10",91
"87","asci","Peak_10","10-year flood magnitude","NATMed","HydroImpact",0.5,"asci_Peak_10",86
"88","asci","Peak_10","10-year flood magnitude","NATMed","HydroImpact",0.9,"asci_Peak_10",4
"89","asci","Peak_10","10-year flood magnitude","NATMed","BothImpact",0.5,"asci_Peak_10",112
"90","asci","Peak_10","10-year flood magnitude","NATMed","BothImpact",0.9,"asci_Peak_10",21
"91","asci","Peak_10","10-year flood magnitude","SB0","NoImpact",0.9,"asci_Peak_10",2
"92","asci","Peak_10","10-year flood magnitude","SB0","BioImpact",0.9,"asci_Peak_10",2
"93","asci","Peak_10","10-year flood magnitude","SB0","HydroImpact",0.5,"asci_Peak_10",2
"94","asci","Peak_10","10-year flood magnitude","SB0","BothImpact",0.5,"asci_Peak_10",2
"95","asci","Peak_10","10-year flood magnitude","SB2","BioImpact",0.5,"asci_Peak_10",8
"96","asci","Peak_10","10-year flood magnitude","SB2","BioImpact",0.9,"asci_Peak_10",9
"97","asci","Peak_10","10-year flood magnitude","SB2","BothImpact",0.5,"asci_Peak_10",5
